crop,farm_growth_seasons,seed,seed_seasons,seed_regions,requires_island
Amaranth,Fall,Amaranth Seeds,Fall,"Pierre's General Store,JojaMart",False
Artichoke,Fall,Artichoke Seeds,Fall,"Pierre's General Store,JojaMart",False
Beet,Fall,Beet Seeds,Fall,Oasis,False
Blue Jazz,Spring,Jazz Seeds,Spring,"Pierre's General Store,JojaMart",False
Blueberry,Summer,Blueberry Seeds,Summer,"Pierre's General Store,JojaMart",False
Bok Choy,Fall,Bok Choy Seeds,Fall,"Pierre's General Store,JojaMart",False
Cactus Fruit,,Cactus Seeds,,Oasis,False
Cauliflower,Spring,Cauliflower Seeds,Spring,"Pierre's General Store,JojaMart",False
Coffee Bean,"Spring,Summer",Coffee Bean,"Summer,Fall","Traveling Cart",False
Corn,"Summer,Fall",Corn Seeds,"Summer,Fall","Pierre's General Store,JojaMart",False
Cranberries,Fall,Cranberry Seeds,Fall,"Pierre's General Store,JojaMart",False
Eggplant,Fall,Eggplant Seeds,Fall,"Pierre's General Store,JojaMart",False
Fairy Rose,Fall,Fairy Seeds,Fall,"Pierre's General Store,JojaMart",False
Garlic,Spring,Garlic Seeds,Spring,"Pierre's General Store,JojaMart",False
Grape,Fall,Grape Starter,Fall,"Pierre's General Store,JojaMart",False
Green Bean,Spring,Bean Starter,Spring,"Pierre's General Store,JojaMart",False
Hops,Summer,Hops Starter,Summer,"Pierre's General Store,JojaMart",False
Hot Pepper,Summer,Pepper Seeds,Summer,"Pierre's General Store,JojaMart",False
Kale,Spring,Kale Seeds,Spring,"Pierre's General Store,JojaMart",False
Melon,Summer,Melon Seeds,Summer,"Pierre's General Store,JojaMart",False
Parsnip,Spring,Parsnip Seeds,Spring,"Pierre's General Store,JojaMart",False
Pineapple,Summer,Pineapple Seeds,Summer,"Island Trader",True
Poppy,Summer,Poppy Seeds,Summer,"Pierre's General Store,JojaMart",False
Potato,Spring,Potato Seeds,Spring,"Pierre's General Store,JojaMart",False
Qi Fruit,"Spring,Summer,Fall,Winter",Qi Bean,"Spring,Summer,Fall,Winter","Qi's Walnut Room",True
Pumpkin,Fall,Pumpkin Seeds,Fall,"Pierre's General Store,JojaMart",False
Radish,Summer,Radish Seeds,Summer,"Pierre's General Store,JojaMart",False
Red Cabbage,Summer,Red Cabbage Seeds,Summer,"Pierre's General Store,JojaMart",False
Rhubarb,Spring,Rhubarb Seeds,Spring,Oasis,False
Starfruit,Summer,Starfruit Seeds,Summer,Oasis,False
Strawberry,Spring,Strawberry Seeds,Spring,"Pierre's General Store,JojaMart",False
Summer Spangle,Summer,Spangle Seeds,Summer,"Pierre's General Store,JojaMart",False
Sunflower,"Summer,Fall",Sunflower Seeds,"Summer,Fall","Pierre's General Store,JojaMart",False
Sweet Gem Berry,Fall,Rare Seed,"Spring,Summer",Traveling Cart,False
Taro Root,Summer,Taro Tuber,Summer,"Island Trader",True
Tomato,Summer,Tomato Seeds,Summer,"Pierre's General Store,JojaMart",False
Tulip,Spring,Tulip Bulb,Spring,"Pierre's General Store,JojaMart",False
Unmilled Rice,Spring,Rice Shoot,Spring,"Pierre's General Store,JojaMart",False
Wheat,"Summer,Fall",Wheat Seeds,"Summer,Fall","Pierre's General Store,JojaMart",False
Yam,Fall,Yam Seeds,Fall,"Pierre's General Store,JojaMart",False
